comment_id,type,parent_id,author,text,likes,published_at
UgwMcDS9tcQw7PqPc9t4AaABAg,top_level,,@naseerahmad8014,"Dhami ji cm bankar kam karo ap 
Kisi party ka kam na kare.... Jai hind",0,1694131200
UgwFxVD9jsZaaT2G7_d4AaABAg,top_level,,@hinakhan755,"Kedarnath bhi government forest pe basa hai, unka bhi kuch socho, ese gol gol khe doge to hum man jayenge,",0,1694131200
UgwVvRa4AdD7CZKulIR4AaABAg,top_level,,@anandroy5141,"Very geat CM
Nice 
Jai HINDU jai BHARAT",0,1694131200
Ugzsrp7UdRNfH1k1UMt4AaABAg,top_level,,@Iffat-TV,Mandir kon si kharid ke bani hai,0,1694131200
UgwXlzMjFpr5lQF52_B4AaABAg,top_level,,@ParminderSingh-wh4vd,Bhot hor bhi ase dhram ka satan ha jo sarkari jamin pr ha UK ma hi app ko un pr bhi dhyan dana chaye unha bhi hata na chaye buldojer chala chaye un pr,0,1694131200
UgzV-pSccQ_4AL73Tah4AaABAg,top_level,,@AKS007vlogs,Good ❤❤❤❤❤❤❤,0,1694131200
Ugwq55_JjzUdDf0Cdcd4AaABAg,top_level,,@amishsurani4765,Bjp is Trying to remove muslim ☪️. Indonesia Malaysia gulf kick out all hindus .one YouTube cofunder was muslim. Hanuman temple was also broken. Good their flood in uttrakhand,0,1694131200
Ugwu07Dxr-Bc4GoCrzh4AaABAg,top_level,,@pallavikuthe7427,Uttarakhand aur Uttarpradesh ke CM  jaise  jarurat hai pure Hindustan me,77,1694131200
UgzAOjFDhc8bX31euuB4AaABAg,top_level,,@doesnt_matter07,"जिओ फाइबर लाइन को बिछाने का काम बहुत अच्छा चल रहा था लेकिन जब ये काम main मार्किट में शुरू किया गया तब वहां के लोगों ने लाइन बिछाने का विरोध किया क्योंकि उनकी दुकान के बाहर तोड़ फोड़ हो सकती थी.इसलिए जिओ ने अतिक्रमण देखा और गवर्नमेंट के जरिये तोड़ फोड़ शुरू कर दी. वैसे ये सही किया, because मार्किट वालों ने हद ही कर रखी थी.लेकिन अतिक्रमण एक या दो महीने में तो नहीं हुआ होगा, प्रशाशन कहा सोया था,",0,1694131200
Ugxk8BYTKT1-tdOYAE14AaABAg,top_level,,@ashimadas108,Tit for tat 🙏👏,0,1694131200
UgxGG0z1KPv4oryzqNx4AaABAg,top_level,,@sumitmormor3141,Great  sir,0,1694131200
UgzNuppGClAPn4P6b3d4AaABAg,top_level,,@virugood3836,"Beta devbhoomi k chacha ab bana lo jitan banana hai. Poori bhooki Khali ho Gai. 
Isi liye toofan agaya.
In gadho k bezubani k wajah sey hi.",0,1694131200
UgxsXbNFMcg1ClOR_eN4AaABAg,top_level,,@shajam-ps2vc,Now it will become the center of God's punishment. wait and watch,0,1694131200
UgyVTut5UEiJ0b0Zoad4AaABAg,top_level,,@SarvjeetVishwakarma-g7d,Jay Shree ram 😀😀😀😀😀,0,1694131200
Ugxt_4e7NjZ-zABvgtR4AaABAg,top_level,,@sandipraut6566,Only  accept govt ❤approved Majaar not illegal Majaar,0,1694131200
UgyyUbCCdMlODIoVRUZ4AaABAg,top_level,,@waseemgrephy3962,CM sahab kitni sari mandir he jo sarkari jamin par bani hai unko kab hataynge sabka sath sabka visvash he to majare hi todi gay mandiro ka kya is se to ye hi lag raha hai dogla niti he kanoon sab ke liye ek hona chahiye na ki muslimo k liye baki sab thik hai 🙏,0,1694131200
UgxXvGtAUh0QIOBT7A54AaABAg,top_level,,@haaaaaa2619,Salam h aapko,0,1694131200
Ugz_sCXuSekBE1pAFnx4AaABAg,top_level,,@ZubairAlam-fe3jq,Mandir nahin hsin kia.,0,1694131200
UgyZsw0gCMJmyivDlo14AaABAg,top_level,,@yunotowa,Uttarakhand don't needs  unsustainable Development.Please Don't destroy the environment in the Name of Development.,0,1694131200
UgxIFIrS43ilstES-ah4AaABAg,top_level,,@UPbhaiyalog,अति उत्तम कार्य❤❤,0,1694131200
UgzJlWdk3-HWlccS73l4AaABAg,top_level,,@nashp1694,विकास करने की औकात नहीं तो जो आता है वही करेंगे ....विनाश,0,1694131200
UgwFfltj1cATrOdY-kV4AaABAg,top_level,,@bringiton032,Bade ha...mi ho beta 😂😂😂😂,0,1694131200
UgwzJkBYXqSeBrxtBzd4AaABAg,top_level,,@englishbolnsikhe,Bhadiya,0,1694131200
